#SampleID,BarcodeSequence,LinkerPrimerSequence,ELN,UnileverSampleID,UnileverStudyName,ExternalStudyNumber,ControlSample,ControlID,SampleCollectionDate,Product,Timepoint,TimepointName,InvestigationType,SampleType,SequencingPlatform,Description
Sample1,NA,NA,EXP-22-AN4815,Sample_1-5,InvitroOralBiofilm,ERR3850007,No,NA,01_08_2018,Control0%,1,1WeekPostTreatment,Metagenomics,Biofilm,Illumina,S1W1Con0B1
Sample2,NA,NA,EXP-22-AN4815,Sample_2-6,InvitroOralBiofilm,ERR3850008,No,NA,01_08_2018,Chlorhexidine0.12%,1,1WeekPostTreatment,Metagenomics,Biofilm,Illumina,S2W1Chl0.12B2
Sample3,NA,NA,EXP-22-AN4815,Sample_3-7,InvitroOralBiofilm,ERR3850009,No,NA,01_08_2018,Triclosan0.12%,1,1WeekPostTreatment,Metagenomics,Biofilm,Illumina,S3W1Tri0.12B3
Sample4,NA,NA,EXP-22-AN4815,Sample_4-8,InvitroOralBiofilm,ERR3850010,No,NA,01_08_2018,Triclosan0.3%,1,1WeekPostTreatment,Metagenomics,Biofilm,Illumina,S4W1Tri0.3B4
Sample5,NA,NA,EXP-22-AN4815,Sample_5-9,InvitroOralBiofilm,ERR3850011,No,NA,08_08_2018,Control0%,2,2WeeksPostTreatment,Metagenomics,Biofilm,Illumina,S5W2Con0B1
Sample6,NA,NA,EXP-22-AN4815,Sample_6-10,InvitroOralBiofilm,ERR3850012,No,NA,08_08_2018,Chlorhexidine0.12%,2,2WeeksPostTreatment,Metagenomics,Biofilm,Illumina,S6W2Chl0.12B2
Sample7,NA,NA,EXP-22-AN4815,Sample_7-11,InvitroOralBiofilm,ERR3850013,No,NA,08_08_2018,Triclosan0.12%,2,2WeeksPostTreatment,Metagenomics,Biofilm,Illumina,S7W2Tri0.12B3
Sample8,NA,NA,EXP-22-AN4815,Sample_8-12,InvitroOralBiofilm,ERR3850014,No,NA,08_08_2018,Triclosan0.3%,2,2WeeksPostTreatment,Metagenomics,Biofilm,Illumina,S8W2Tri0.3B4
Sample9,NA,NA,EXP-22-AN4815,Sample_1-CTRL_1_07082019,InvitroOralBiofilm,ERR3850015,No,NA,07_08_2019,Pre-Treatment0%,0,Baseline,Metagenomics,Biofilm,Illumina,S9W0Pre0B5
Sample10,NA,NA,EXP-22-AN4815,Sample_2-CTRL_1_14082019,InvitroOralBiofilm,ERR3850016,No,NA,14_08_2019,Control0%,1,1WeekPostTreatment,Metagenomics,Biofilm,Illumina,S10W1Con0B5
Sample11,NA,NA,EXP-22-AN4815,Sample_3-CTRL_2_11092019,InvitroOralBiofilm,ERR3850017,No,NA,11_09_2019,Pre-Treatment0%,0,Baseline,Metagenomics,Biofilm,Illumina,S11W0Pre0B6
Sample12,NA,NA,EXP-22-AN4815,Sample_4-CTRL_2_18092019,InvitroOralBiofilm,ERR3850018,No,NA,18_09_2019,Control0%,1,1WeekPostTreatment,Metagenomics,Biofilm,Illumina,S12W1Con0B6
Sample13,NA,NA,EXP-22-AN4815,Sample_5-CTRL_3_11092019,InvitroOralBiofilm,ERR3850019,No,NA,11_09_2019,Pre-Treatment0%,0,Baseline,Metagenomics,Biofilm,Illumina,S13W0Pre0B7
Sample14,NA,NA,EXP-22-AN4815,Sample_6-CTRL_3_18092019,InvitroOralBiofilm,ERR3850020,No,NA,18_09_2019,Control0%,1,1WeekPostTreatment,Metagenomics,Biofilm,Illumina,S14W1Con0B7
Sample15,NA,NA,EXP-22-AN4815,Sample_7-CHX_1_07082019,InvitroOralBiofilm,ERR3850021,No,NA,07_08_2019,Pre-Treatment0%,0,Baseline,Metagenomics,Biofilm,Illumina,S15W0Pre0B5
Sample16,NA,NA,EXP-22-AN4815,Sample_8-CHX_1_14082019,InvitroOralBiofilm,ERR3850022,No,NA,14_08_2019,Chlorhexidine0.12%,1,1WeekPostTreatment,Metagenomics,Biofilm,Illumina,S16W1Chl0.12B5
Sample17,NA,NA,EXP-22-AN4815,Sample_9-CHX_2_11092019,InvitroOralBiofilm,ERR3850023,No,NA,11_09_2019,Pre-Treatment0%,0,Baseline,Metagenomics,Biofilm,Illumina,S17W0Pre0B6
Sample18,NA,NA,EXP-22-AN4815,Sample_10-CHX_2_18092019,InvitroOralBiofilm,ERR3850024,No,NA,18_09_2019,Chlorhexidine0.12%,1,1WeekPostTreatment,Metagenomics,Biofilm,Illumina,S18W1Chl0.12B6
Sample19,NA,NA,EXP-22-AN4815,Sample_11-CHX_3_11092019,InvitroOralBiofilm,ERR3850025,No,NA,11_09_2019,Pre-Treatment0%,0,Baseline,Metagenomics,Biofilm,Illumina,S19W0Pre0B7
Sample20,NA,NA,EXP-22-AN4815,Sample_12-CHX_3_18092019,InvitroOralBiofilm,ERR3850026,No,NA,18_09_2019,Chlorhexidine0.12%,1,1WeekPostTreatment,Metagenomics,Biofilm,Illumina,S20W1Chl0.12B7
